date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,33.11634198281524,65.35236,46.01075062425946
2024-01-31,87.25065128538388,64.722626,78.23944220860827
2024-02-29,-216.86860939747083,65.94329,-103.74384820989363
2024-03-31,-202.19493613819947,63.07605,-96.08654061663549
2024-04-30,-120.75055940032237,62.911415,-47.28576960015435
2024-05-31,-86.22515517834994,62.851852,-26.594351758743358
2024-06-30,-172.93595113640527,62.586224,-78.727080096516
2024-07-31,-137.53939803959923,62.55226,-57.502734282743916
2024-08-31,-193.85923296402632,62.53046,-91.30335563534938
2024-09-30,-183.56934187178467,62.503925,-85.140035375146
2024-10-31,-174.53420534347836,62.49813,-79.72127088675107
2024-11-30,-67.97887927176495,62.49442,-15.789559160959364
2024-12-31,-277.085983153029,62.491543,-141.2549716209434
2025-01-31,-247.0854373752389,62.490658,-123.25499892111503
2025-02-28,-500.0664191838929,62.490116,-275.04380544405154
2025-03-31,-470.8239316505917,62.48978,-257.4984464384751
2025-04-30,-304.25544921535885,62.489655,-157.55740656839987
2025-05-31,-223.35148196944283,62.48958,-109.0150567384284
2025-06-30,-385.04787529221494,62.489536,-206.03290989822935
2025-07-31,-333.35954511483305,62.489525,-175.0199175138461
2025-08-31,-441.79053065897483,62.48951,-240.07851456237705
2025-09-30,-440.41096881640436,62.489502,-239.25077936418342
2025-10-31,-392.26609983222716,62.489502,-210.3638579736771
2025-11-30,-231.0735266847523,62.489502,-113.6483140851922
