date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,122.4382282421662,10.254048,77.56455618892154
2024-01-31,28.96216147281667,11.013706,21.78277965270245
2024-02-29,108.17937917657969,11.584349,69.54136697738336
2024-03-31,91.94030454850571,11.973817,59.95370966849551
2024-04-30,120.99842154574432,12.25189,77.49980928654693
2024-05-31,98.16611611868137,12.451764,63.880375409276446
2024-06-30,100.84432118921322,12.592899,65.5437526332667
2024-07-31,93.2371396854025,12.693756,61.01978653875004
2024-08-31,96.4356876604819,12.765795,62.9677305932679
2024-09-30,56.80612573889662,12.8171015,39.21051603476863
2024-10-31,108.44079869893113,12.853751,70.20597969238113
2024-11-30,70.67099762701878,12.879917,47.55456562485629
2024-12-31,179.85207146152038,12.898594,113.07068053331481
2025-01-31,142.20237366384856,12.911932,90.48619718567485
2025-02-28,194.39751286883174,12.921457,121.8070906375588
2025-03-31,154.95094128484473,12.928261,98.14186899682846
2025-04-30,211.93142062190014,12.933119,132.33210018731853
2025-05-31,160.16408138457413,12.936588,101.27308424105331
2025-06-30,178.76679912750802,12.939066,112.4357057544284
2025-07-31,164.5211982332162,12.940837,103.8890537978704
2025-08-31,179.70465641139586,12.942101,112.99963415216588
2025-09-30,108.87120000012787,12.943003,70.49992127113384
2025-10-31,210.00495014585945,12.943647,131.1804293274754
2025-11-30,132.10481058742067,12.944108,84.44052965155518
