date,prophet_pred,lstm_pred,hybrid_pred
2023-12-31,-119.76010949444544,18.67878,-64.38455385584695
2024-01-31,-119.3714102286282,18.92029,-64.0547299491276
2024-02-29,-78.45281184183254,18.719358,-39.583943727413974
2024-03-31,-61.24899521360989,18.790585,-29.233163207114906
2024-04-30,-78.30081887149834,18.801815,-39.45976511898054
2024-05-31,-74.45394779059407,18.790276,-37.15625825412939
2024-06-30,-87.39604401667701,18.797628,-44.918574858187355
2024-07-31,-61.78933946781915,18.798409,-29.55424027737117
2024-08-31,-92.08505671459676,18.798138,-47.731778867472656
2024-09-30,-83.73835283913652,18.79897,-42.723423709860086
2024-10-31,-72.237580169407,18.799126,-35.82289764235465
2024-11-30,-59.29769033052749,18.799215,-28.058927976240078
2024-12-31,-188.85665168883003,18.79933,-105.7942590148544
2025-01-31,-186.9341536381283,18.799374,-104.64074254145852
2025-02-28,-178.54456590009391,18.7994,-99.60697940822041
2025-03-31,-142.40106525936466,18.799421,-77.92087044071401
2025-04-30,-176.77606161389656,18.79943,-98.54586443873588
2025-05-31,-168.05686603207124,18.799438,-93.31434422861774
2025-06-30,-194.6738217685747,18.799442,-109.28451624000834
2025-07-31,-141.6479918983529,18.799444,-77.46901736420095
2025-08-31,-202.3456508212505,18.799446,-113.88761176426519
2025-09-30,-182.20068695362198,18.799446,-101.80063344368808
2025-10-31,-165.1765033095728,18.799448,-91.58612278042142
2025-11-30,-136.84007440090627,18.799448,-74.5842654352215
